Country,total_content,movies,tv_shows,percentage,Market_Tier
United States,3291,2431,860,36.33,Tier 1: Saturated (500+ titles)
India,990,915,75,10.93,Tier 1: Saturated (500+ titles)
United Kingdom,722,467,255,7.97,Tier 1: Saturated (500+ titles)
Canada,412,286,126,4.55,Tier 2: Established (100-499 titles)
France,349,265,84,3.85,Tier 2: Established (100-499 titles)
Japan,286,103,183,3.16,Tier 2: Established (100-499 titles)
Spain,215,158,57,2.37,Tier 2: Established (100-499 titles)
South Korea,212,55,157,2.34,Tier 2: Established (100-499 titles)
Germany,199,157,42,2.2,Tier 2: Established (100-499 titles)
Mexico,154,101,53,1.7,Tier 2: Established (100-499 titles)
China,147,102,45,1.62,Tier 2: Established (100-499 titles)
Australia,143,84,59,1.58,Tier 2: Established (100-499 titles)
Egypt,110,97,13,1.21,Tier 2: Established (100-499 titles)
Turkey,108,80,28,1.19,Tier 2: Established (100-499 titles)
Hong Kong,102,97,5,1.13,Tier 2: Established (100-499 titles)
Italy,90,67,23,0.99,Tier 3: Growing (20-99 titles)
Brazil,88,59,29,0.97,Tier 3: Growing (20-99 titles)
Taiwan,85,15,70,0.94,Tier 3: Growing (20-99 titles)
Belgium,85,74,11,0.94,Tier 3: Growing (20-99 titles)
Argentina,82,64,18,0.91,Tier 3: Growing (20-99 titles)
Indonesia,80,77,3,0.88,Tier 3: Growing (20-99 titles)
Philippines,78,77,1,0.86,Tier 3: Growing (20-99 titles)
Nigeria,76,68,8,0.84,Tier 3: Growing (20-99 titles)
Thailand,65,43,22,0.72,Tier 3: Growing (20-99 titles)
South Africa,54,44,10,0.6,Tier 3: Growing (20-99 titles)
Colombia,45,17,28,0.5,Tier 3: Growing (20-99 titles)
Netherlands,45,37,8,0.5,Tier 3: Growing (20-99 titles)
Denmark,44,31,13,0.49,Tier 3: Growing (20-99 titles)
Ireland,40,28,12,0.44,Tier 3: Growing (20-99 titles)
Singapore,39,18,21,0.43,Tier 3: Growing (20-99 titles)
Sweden,39,29,10,0.43,Tier 3: Growing (20-99 titles)
Poland,36,28,8,0.4,Tier 3: Growing (20-99 titles)
United Arab Emirates,34,33,1,0.38,Tier 3: Growing (20-99 titles)
Norway,29,20,9,0.32,Tier 3: Growing (20-99 titles)
New Zealand,28,20,8,0.31,Tier 3: Growing (20-99 titles)
Russia,27,10,17,0.3,Tier 3: Growing (20-99 titles)
Lebanon,26,19,7,0.29,Tier 3: Growing (20-99 titles)
Malaysia,26,18,8,0.29,Tier 3: Growing (20-99 titles)
Chile,26,21,5,0.29,Tier 3: Growing (20-99 titles)
Israel,26,18,8,0.29,Tier 3: Growing (20-99 titles)
Pakistan,24,20,4,0.26,Tier 3: Growing (20-99 titles)
